query,intent
is it possible to customer support urgently,general_inquiry
can i international shipping please,shipping_inquiry
Can't access my account,account_issues
"hey, create new password thank you",account_issues
Is it possible to Authentication failed!,account_issues
"please, when was refund issued? thank you",refund_status
Refund status!,refund_status
"Hey, Don't ship my order, cancel it ASAP",order_cancellation
Good afternoon please,general_inquiry
"hi, product doesn't work right away",complaint
i need to checkout error,payment_issues
Could you I'd like to cancel before it ships thanks,order_cancellation
"i need to wrong size, need exchange urgently",return_exchange
Delivery fee ASAP,shipping_inquiry
"excuse me, cancel my order please.",order_cancellation
Can I Shipping time,shipping_inquiry
i need to product recommendations,product_information
"Hi, Expedite my refund right away",refund_status
i would like to password reset immediately,account_issues
I need to Is anyone there? urgently,general_inquiry
Can I How to return? thanks,return_exchange
i need to return pickup thank you,return_exchange
"Excuse me, I can't log in immediately",account_issues
I want to track my package!,order_status
Is it possible to First time customer right away,general_inquiry
"please, can't process my payment thanks",payment_issues
i would like to i want to cancel my order thanks,order_cancellation
i want to payment method not working now,payment_issues
i would like to is this compatible with...? thanks,product_information
Poor quality product,complaint
Could you When will my order arrive? immediately,order_status
"Please, Product quality urgently",product_information
"hello, connect me to support?",general_inquiry
"Hello, Free delivery threshold immediately",shipping_inquiry
Would you Payment not accepted thank you,payment_issues
"Hey, I want to return this.",return_exchange
i need to verification code not received immediately,account_issues
"Please, What's included in the package? thanks",product_information
"hey, help me please please",general_inquiry
"Hello, Payment not accepted now",payment_issues
is it possible to how does this work? right away,general_inquiry
"Please, I want to return this ASAP",return_exchange
"hello, express shipping!",shipping_inquiry
Change password,account_issues
can i how long for refund?,refund_status
would you i received a damaged item!,complaint
Return shipping.,return_exchange
would you reimburse me urgently,refund_status
can i quality issue return?,return_exchange
"Excuse me, More info about the item urgently",product_information
"Hello, Refund processing time!",refund_status
i want to i need help ASAP,general_inquiry
"Hi, Return label request ASAP",return_exchange
Can I How to use this product? immediately,product_information
"please, delivery cost estimate ASAP",shipping_inquiry
"Hey, Initiate return",return_exchange
i want to how long for refund? urgently,refund_status
Reset my password please,account_issues
i need to i need my money back,refund_status
i would like to i need to cancel an order now,order_cancellation
how do i i want to speak to a manager.,complaint
can i account recovery thank you,account_issues
would you delivery days?,shipping_inquiry
i need to i haven't received my order yet thanks,order_status
"Please, I need this order cancelled.",order_cancellation
This is not what I ordered,complaint
"hi, can you help me??",general_inquiry
would you when does my order arrive?.,order_status
can i payment keeps failing urgently,payment_issues
Can I Help with payment problem.,payment_issues
can i can you track my order?!,order_status
"hi, login problem.",account_issues
would you human agent please!,general_inquiry
"hey, any updates on my order? ASAP",order_status
i would like to free delivery threshold immediately,shipping_inquiry
i need to economy shipping thanks,shipping_inquiry
"Hello, Can't complete payment.",payment_issues
Very bad service,complaint
"Hey, I'd like to exchange!",return_exchange
"Hello, Can't process my payment.",payment_issues
"Hello, Order tracking urgently",order_status
Information needed ASAP,general_inquiry
How do I Hi there thank you,general_inquiry
i want to how does this product work? thanks,product_information
i would like to fastest shipping option right away,shipping_inquiry
"Hello, Human agent please thanks",general_inquiry
Would you Refund request status!,refund_status
Credit card issue.,payment_issues
"excuse me, login credentials not working now",account_issues
would you fastest shipping option immediately,shipping_inquiry
can i account security concern please,account_issues
"i need to wrong order, please cancel now",order_cancellation
"hey, more info about the item right away",product_information
can i i want my order cancelled today immediately,order_cancellation
would you double charged on my card!,payment_issues
Is it possible to I need my money back urgently,refund_status
could you change shipping address,shipping_inquiry
can i technical specifications please,product_information
how do i help me please.,general_inquiry
"hello, how does this work??",general_inquiry
can i product origin ASAP,product_information
"Hello, Wrong item received thank you",complaint
i need to material information urgently,product_information
I want to Change my phone number immediately,account_issues
could you shipment status immediately,order_status
can i account settings.,account_issues
Is it possible to Product origin!,product_information
"please, free returns? right away",return_exchange
Could you I need assistance thanks,general_inquiry
i would like to delivery fee ASAP,shipping_inquiry
would you delivery fee urgently,shipping_inquiry
General assistance.,general_inquiry
can i when will i get my refund? please,refund_status
Refund taking too long,refund_status
How do I Cancel the items in my order?,order_cancellation
"excuse me, initiate return.",return_exchange
is it possible to refund amount incorrect right away,refund_status
i want to i'd like to exchange?,return_exchange
Support request urgently,general_inquiry
would you can't complete payment please,payment_issues
Is this product good? thanks,product_information
Could you I want to file a complaint thank you,complaint
"Please, Exchange for store credit please",return_exchange
"hey, international shipping.",shipping_inquiry
i would like to return my order thanks,return_exchange
How do I Expedite my refund ASAP,refund_status
i need to refund confirmation immediately,refund_status
This is not what I ordered ASAP,complaint
I need to Delivery days please,shipping_inquiry
could you where is my refund? ASAP,refund_status
would you i was charged twice urgently,payment_issues
Would you Refund processing time thanks,refund_status
"hey, delivery cost estimate.",shipping_inquiry
i would like to can't pay for my order.,payment_issues
I want to Speak to representative,general_inquiry
Could you Free shipping? ASAP,shipping_inquiry
