query,intent
Is it possible to How to return?!,return_exchange
"Hi, Item doesn't fit, return please right away",return_exchange
i would like to new arrivals?,product_information
i want to can i cancel my order? thanks,order_cancellation
would you terrible customer service thank you,complaint
"excuse me, wrong order, please cancel thanks",order_cancellation
"hey, payment gateway error urgently",payment_issues
Card not accepted thank you,payment_issues
can i what's included in the package? now,product_information
"Excuse me, 30 day return.",return_exchange
would you transaction failed thank you,payment_issues
is it possible to refund to credit card ASAP,refund_status
I would like to Can't access my account ASAP,account_issues
would you account suspended thank you,account_issues
"hi, new here.",general_inquiry
Return damaged product,return_exchange
i would like to when can i expect my delivery? now,order_status
How do I Card declined now,payment_issues
"excuse me, ship to different address ASAP",shipping_inquiry
Can I Change shipping address!,shipping_inquiry
would you how do i cancel my order?!,order_cancellation
I want to Cancel my latest purchase now,order_cancellation
"hi, free shipping? urgently",shipping_inquiry
How do I Is this compatible with...? urgently,product_information
Good morning,general_inquiry
would you good morning ASAP,general_inquiry
Can I Weekend delivery?.,shipping_inquiry
i would like to product origin urgently,product_information
I need to Where is my order? ASAP,order_status
I need to Cancel the items in my order,order_cancellation
"excuse me, full refund please please",refund_status
how do i unlock my account.,account_issues
could you free shipping??,shipping_inquiry
Return damaged product thank you,return_exchange
Could you Partial refund received immediately,refund_status
I want to cancel my order please,order_cancellation
i want to human agent please thanks,general_inquiry
i would like to tell me about this product please,product_information
Delete my account now,account_issues
"please, technical specifications!",product_information
"please, thank you please",general_inquiry
How do I I want to file a complaint!,complaint
I want to file a complaint immediately,complaint
I want to New here now,general_inquiry
"hey, delete my account right away",account_issues
"hey, refund not received.",refund_status
"excuse me, i need to cancel asap",order_cancellation
Refund status urgently,refund_status
Where is my order?,order_status
"excuse me, please process a cancellation thank you",order_cancellation
"excuse me, i'd like to cancel my purchase urgently",order_cancellation
Is it possible to Can't access my account thanks,account_issues
i need to when is refund processed? please,refund_status
"hey, can i swap this? right away",return_exchange
How do I Weekend delivery? please,shipping_inquiry
"Hey, Delivery fee thank you",shipping_inquiry
i want to delivery fee right away,shipping_inquiry
"Please, I want to send this back right away",return_exchange
I need to Speak to representative,general_inquiry
"hey, is this product good? thanks",product_information
i want to delivery options thanks,shipping_inquiry
"please, track my refund thanks",refund_status
could you cancel the items in my order,order_cancellation
"hey, quality is very poor thank you",complaint
Is it possible to Expected delivery date? please,order_status
"please, account locked!",account_issues
Product is defective!,complaint
is it possible to payment not accepted,payment_issues
Is it possible to I want to return this,return_exchange
i would like to i haven't received my refund thanks,refund_status
"excuse me, exchange policy",return_exchange
I want to I no longer want this order ASAP,order_cancellation
can i track my recent order thank you,order_status
"hey, update my email?",account_issues
Would you Worst experience ever thank you,complaint
Is my package lost?,order_status
i need to do you have this in stock?.,product_information
My card isn't working.,payment_issues
"excuse me, i can't log in!",account_issues
I want to I have a question?,general_inquiry
would you can i cancel my order??,order_cancellation
how do i i feel cheated right away,complaint
How do I My payment didn't go through urgently,payment_issues
Cancel my latest purchase thanks,order_cancellation
Refund pending,refund_status
can i item availability ASAP,product_information
i would like to what's included in the package??,product_information
"hey, when does my order arrive?!",order_status
i need to initiate return?,return_exchange
Can I Contact information right away,general_inquiry
How do I cancel my order? immediately,order_cancellation
"hey, delivery options.",shipping_inquiry
can i refund amount incorrect urgently,refund_status
can i full refund please right away,refund_status
"please, schedule a return.",return_exchange
Can I Exchange for store credit now,return_exchange
Partial refund received,refund_status
"please, how much is shipping? thank you",shipping_inquiry
would you general question thank you,general_inquiry
"hi, password reset thanks",account_issues
Refund amount incorrect,refund_status
I want to Track my refund immediately,refund_status
I need to How can I contact you?,general_inquiry
i would like to refund processing time,refund_status
"hello, any updates on my order? ASAP",order_status
I want to Product features!,product_information
could you same day delivery immediately,shipping_inquiry
i want to refund confirmation!,refund_status
"hey, email not recognized thank you",account_issues
can i how do i cancel my order?!,order_cancellation
Can I Money deducted but order failed please,payment_issues
Is it possible to Expected delivery date? urgently,order_status
would you can you help me? thank you,general_inquiry
i would like to expedite my refund urgently,refund_status
i need to compare products?,product_information
how do i where is my package? thank you,order_status
"Hey, Please process a cancellation!",order_cancellation
I need customer service!,general_inquiry
